congress,number,title,format,url,filename,status
109,48,Electing Members and Delegates to certain standing committees of the House of Representatives.,html,https://www.congress.gov/109/bills/hres48/BILLS-109hres48eh.htm,109_hres48.html,downloaded
109,66,Electing Members and Delegates to certain standing committees of the House of Representatives.,html,https://www.congress.gov/109/bills/hres66/BILLS-109hres66eh.htm,109_hres66.html,downloaded
109,62,Electing Members and Delegates to certain standing committees of the House of Representatives.,html,https://www.congress.gov/109/bills/hres62/BILLS-109hres62eh.htm,109_hres62.html,downloaded
109,65,Electing Members and Delegates to certain standing committees of the House of Representatives.,html,https://www.congress.gov/109/bills/hres65/BILLS-109hres65eh.htm,109_hres65.html,downloaded
109,64,Electing Members and Delegates to certain standing committees of the House of Representatives.,html,https://www.congress.gov/109/bills/hres64/BILLS-109hres64eh.htm,109_hres64.html,downloaded
109,68,Electing a certain Member to a certain standing committee of the House of Representatives.,html,https://www.congress.gov/109/bills/hres68/BILLS-109hres68eh.htm,109_hres68.html,downloaded
109,73,Electing Members and Delegates to certain standing committees of the House of Representatives.,html,https://www.congress.gov/109/bills/hres73/BILLS-109hres73eh.htm,109_hres73.html,downloaded
109,74,Electing Members and Delegates to certain standing committees of the House of Representatives.,html,https://www.congress.gov/109/bills/hres74/BILLS-109hres74eh.htm,109_hres74.html,downloaded
109,112,Electing a certain Member to a certain standing committee of the House of Representatives.,html,https://www.congress.gov/109/bills/hres112/BILLS-109hres112eh.htm,109_hres112.html,downloaded
109,111,Electing Members to certain standing committees of the House of Representatives.,html,https://www.congress.gov/109/bills/hres111/BILLS-109hres111eh.htm,109_hres111.html,exists
109,139,Electing a certain Member to a certain standing committee of the House of Representatives.,html,https://www.congress.gov/109/bills/hres139/BILLS-109hres139eh.htm,109_hres139.html,downloaded
109,161,Electing a certain Member to a certain standing committee of the House of Representatives.,html,https://www.congress.gov/109/bills/hres161/BILLS-109hres161eh.htm,109_hres161.html,downloaded
109,264,Electing a certain Member to a certain standing committee of the House of Representatives.,html,https://www.congress.gov/109/bills/hres264/BILLS-109hres264eh.htm,109_hres264.html,downloaded
109,281,Electing a certain Member to a certain standing committee of the House of Representatives.,html,https://www.congress.gov/109/bills/hres281/BILLS-109hres281eh.htm,109_hres281.html,downloaded
109,307,Electing Members to certain standing committees of the House of Representatives.,html,https://www.congress.gov/109/bills/hres307/BILLS-109hres307eh.htm,109_hres307.html,exists
109,445,Electing Members to certain standing committees of the House of Representatives.,html,https://www.congress.gov/109/bills/hres445/BILLS-109hres445eh.htm,109_hres445.html,exists
109,513,Electing a certain Member to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/109/bills/hres513/BILLS-109hres513eh.xml,109_hres513.xml,downloaded
109,679,Electing a certain member to a certain standing committee of the House.,html,https://www.congress.gov/109/bills/hres679/BILLS-109hres679eh.htm,109_hres679.html,downloaded
109,715,Electing a certain Member to a certain standing committee of the House of Representatives.,html,https://www.congress.gov/109/bills/hres715/BILLS-109hres715eh.htm,109_hres715.html,downloaded
109,796,Electing a certain Member to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/109/bills/hres796/BILLS-109hres796eh.xml,109_hres796.xml,downloaded
109,664,Electing a certain Member to a certain standing committee of the House of Representatives.,html,https://www.congress.gov/109/bills/hres664/BILLS-109hres664eh.htm,109_hres664.html,downloaded
109,671,Electing Members to certain standing committees of the House of Representatives.,html,https://www.congress.gov/109/bills/hres671/BILLS-109hres671eh.htm,109_hres671.html,exists
109,678,Electing Members to certain standing committees of the House of Representatives.,html,https://www.congress.gov/109/bills/hres678/BILLS-109hres678eh.htm,109_hres678.html,exists
109,754,Electing Members to certain standing Committees of the House of Representatives.,xml,https://www.congress.gov/109/bills/hres754/BILLS-109hres754eh.xml,109_hres754.xml,downloaded
109,778,Electing a certain Member to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/109/bills/hres778/BILLS-109hres778eh.xml,109_hres778.xml,downloaded
109,902,Electing a certain Member to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/109/bills/hres902/BILLS-109hres902eh.xml,109_hres902.xml,downloaded
109,1083,Electing a certain Member to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/109/bills/hres1083/BILLS-109hres1083eh.xml,109_hres1083.xml,downloaded
110,7,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/110/bills/hres7/BILLS-110hres7eh.xml,110_hres7.xml,exists
110,8,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/110/bills/hres8/BILLS-110hres8eh.xml,110_hres8.xml,exists
110,47,Electing Members and Delegates to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/110/bills/hres47/BILLS-110hres47eh.xml,110_hres47.xml,downloaded
110,60,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/110/bills/hres60/BILLS-110hres60eh.xml,110_hres60.xml,exists
110,75,Electing Members and Delegates to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/110/bills/hres75/BILLS-110hres75eh.xml,110_hres75.xml,downloaded
110,73,Electing Members to a certain standing committee of the House of Representatives.,html,https://www.congress.gov/110/bills/hres73/BILLS-110hres73eh.htm,110_hres73.html,downloaded
110,85,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/110/bills/hres85/BILLS-110hres85eh.xml,110_hres85.xml,exists
110,139,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/110/bills/hres139/BILLS-110hres139eh.xml,110_hres139.xml,exists
110,46,Electing Members and Delegates to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/110/bills/hres46/BILLS-110hres46eh.xml,110_hres46.xml,downloaded
110,56,Electing Members and Delegates to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/110/bills/hres56/BILLS-110hres56eh.xml,110_hres56.xml,downloaded
110,236,Removing a Minority Member from and electing certain Minority Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/110/bills/hres236/BILLS-110hres236eh.xml,110_hres236.xml,downloaded
110,253,Electing a Member to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/110/bills/hres253/BILLS-110hres253eh.xml,110_hres253.xml,downloaded
110,304,Electing a Member to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/110/bills/hres304/BILLS-110hres304eh.xml,110_hres304.xml,downloaded
110,323,Electing Members to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/110/bills/hres323/BILLS-110hres323eh.xml,110_hres323.xml,downloaded
110,393,Electing certain Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/110/bills/hres393/BILLS-110hres393eh.xml,110_hres393.xml,downloaded
110,441,Electing a Member to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/110/bills/hres441/BILLS-110hres441eh.xml,110_hres441.xml,downloaded
110,520,Electing a minority member to a standing committee of the House of Representatives.,xml,https://www.congress.gov/110/bills/hres520/BILLS-110hres520eh.xml,110_hres520.xml,downloaded
