congress,start_date,start_date_imputed,end_date,departure_reason,bioguide_id,member_name,state,senator_class,party,party_designation,committee_name,committee_code,resolution_rank,roster_snapshot_rank,position,resolution,resolution_date
112,2011-02-03,False,2013-01-02,,C000127,Maria Cantwell,WA,I,D,majority,Committee on Indian Affairs,SLIA00,5,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C000127,Maria Cantwell,WA,I,D,majority,"Committee on Commerce, Science, and Transportation",SSCM00,6,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C000127,Maria Cantwell,WA,I,D,majority,Committee on Energy and Natural Resources,SSEG00,5,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C000127,Maria Cantwell,WA,I,D,majority,Committee on Finance,SSFI00,9,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C000127,Maria Cantwell,WA,I,D,majority,Committee on Small Business and Entrepreneurship,SSSB00,6,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C000141,Benjamin L. Cardin,MD,I,D,majority,Committee on the Budget,SSBU00,6,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C000141,Benjamin L. Cardin,MD,I,D,majority,Committee on Environment and Public Works,SSEV00,5,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C000141,Benjamin L. Cardin,MD,I,D,majority,Committee on Finance,SSFI00,13,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C000141,Benjamin L. Cardin,MD,I,D,majority,Committee on Foreign Relations,SSFR00,4,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C000141,Benjamin L. Cardin,MD,I,D,majority,Committee on Small Business and Entrepreneurship,SSSB00,8,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C000174,Thomas R. Carper,DE,I,D,majority,Committee on Environment and Public Works,SSEV00,3,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C000174,Thomas R. Carper,DE,I,D,majority,Committee on Finance,SSFI00,12,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C000174,Thomas R. Carper,DE,I,D,majority,Committee on Homeland Security and Governmental Affairs,SSGA00,4,,Member,S.Res.42,2011-02-03
