congress,start_date,start_date_imputed,end_date,departure_reason,bioguide_id,member_name,state,district,party,committee_name,committee_code,committee_rank,role,resolution,resolution_date,cr_citation,resignation_date
117,2021-01-28,False,2023-01-03,,E000299,Veronica Escobar,TX,16,D,Judiciary,JU00,21,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,E000299,Veronica Escobar,TX,16,D,Ethics,SO00,3,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,F000246,Pat Fallon,TX,4,R,Armed Services,AS00,27,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,F000246,Pat Fallon,TX,4,R,Oversight and Government Reform,GO00,17,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,F000446,Randy Feenstra,IA,4,R,Agriculture,AG00,18,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,F000446,Randy Feenstra,IA,4,R,Budget,BU00,11,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,F000446,Randy Feenstra,IA,4,R,"Science, Space, and Technology",SY00,13,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2021-10-20,resigned,F000449,Jeff Fortenberry,NE,1,R,Appropriations,AP00,9,,H.Res.63,2021-01-28,"Cong. Rec. Vol. 167, No. 184, p. H5704-H5705",2021-10-20
117,2021-01-28,False,2023-01-03,,F000450,Virginia Foxx,NC,5,R,Oversight and Government Reform,GO00,3,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,F000454,Bill Foster,IL,11,D,Financial Services,BA00,9,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,F000454,Bill Foster,IL,11,D,"Science, Space, and Technology",SY00,11,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,F000459,"Charles J. ""Chuck"" Fleischmann",TN,3,R,Appropriations,AP00,10,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,F000462,Lois Frankel,FL,22,D,Appropriations,AP00,19,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,F000465,A. Drew Ferguson IV,GA,3,R,Ways and Means,WM00,13,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,F000466,Brian K. Fitzpatrick,PA,1,R,Foreign Affairs,FA00,10,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,F000468,Lizzie Fletcher,TX,7,D,Energy and Commerce,IF00,30,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,F000469,Russ Fulcher,ID,1,R,Education and the Workforce,ED00,9,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,F000469,Russ Fulcher,ID,1,R,Natural Resources,II00,11,,H.Res.63,2021-01-28,,
