congress,date,resolution,committee,member,rank,role,rank_after
106,1999-01-06,H.Res.6,Armed Services,Mr. Stump,2,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Hunter,3,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Kasich,4,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Bateman,5,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Hansen,6,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Weldon of Pennsylvania,7,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Hefley,8,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Saxton,9,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Buyer,10,,
106,1999-01-06,H.Res.6,Armed Services,Mrs. Fowler,11,,
106,1999-01-06,H.Res.6,Armed Services,Mr. McHugh,12,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Talent,13,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Everett,14,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Bartlett of Maryland,15,,
106,1999-01-06,H.Res.6,Armed Services,Mr. McKeon,16,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Watts of Oklahoma,17,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Thornberry,18,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Hostettler,19,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Chambliss,20,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Hilleary,21,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Scarborough,22,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Jones,23,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Graham,24,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Ryun of Kansas,25,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Riley,26,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Gibbons,27,,
106,1999-01-06,H.Res.6,Armed Services,Mrs. Bono,28,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Pitts,29,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Hayes,30,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Kuykendall,31,,
106,1999-01-06,H.Res.6,Armed Services,Mr. Sherwood,32,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Leach,1,Chairman,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. McCollum,2,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mrs. Roukema,3,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Bereuter,4,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Baker,5,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Lazio,6,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Bachus,7,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Castle,8,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. King,9,,
